ObjectID,PID,Civic.Number,Street,Full.Civic.Address,Closest.University,DestinationRank,Total_Length
7208,93898,5636,MORRIS ST,5636 MORRIS ST, Sexton Campus,1,308.728508
7209,93906,5632,MORRIS ST,5632 MORRIS ST, Sexton Campus,1,308.8587301
7210,93914,5628,MORRIS ST,5628 MORRIS ST, Sexton Campus,1,287.8102405
7211,93922,5608,MORRIS ST,5608 MORRIS ST, Sexton Campus,1,225.5009641
7212,93922,5610,MORRIS ST,5610 MORRIS ST, Sexton Campus,1,228.4927003
7213,93930,5614,MORRIS ST,5614 MORRIS ST, Sexton Campus,1,342.9383907
7214,93948,5606,MORRIS ST,5606 MORRIS ST, Sexton Campus,1,218.7255292
7215,93955,5604,MORRIS ST,5604 MORRIS ST, Sexton Campus,1,209.3869821
7216,93963,5588,MORRIS ST,5588 MORRIS ST, Sexton Campus,1,164.8775273
7217,93971,5578,MORRIS ST,5578 MORRIS ST, Sexton Campus,1,156.3372169
7218,93997,1281,WRIGHT AVE,1281 WRIGHT AVE, Sexton Campus,1,333.6581291
7219,94003,1181,HOLLIS ST,1181 HOLLIS ST, Sexton Campus,1,331.3257919
7220,94003,1203,HOLLIS ST,1203 HOLLIS ST, Sexton Campus,1,318.9820967
7221,102012,1135,SOUTH PARK ST,1135 SOUTH PARK ST, SMU Center,1,547.6215244
7222,102020,5636,FENWICK ST,5636 FENWICK ST, Sexton Campus,1,647.8648936
7223,102038,5630,FENWICK ST,5630 FENWICK ST, SMU Center,1,655.62113
7224,102046,5626,FENWICK ST,5626 FENWICK ST, Sexton Campus,1,589.2628875
7225,102053,5624,FENWICK ST,5624 FENWICK ST, Sexton Campus,1,579.1366221
7226,102129,1138,QUEEN ST,1138 QUEEN ST, Sexton Campus,1,439.8682795
7227,102129,5560,FENWICK ST,5560 FENWICK ST, Sexton Campus,1,443.5624208
7228,102129,5566,FENWICK ST,5566 FENWICK ST, Sexton Campus,1,447.736302
7229,102129,5568,FENWICK ST,5568 FENWICK ST, Sexton Campus,1,451.735013
7230,102129,5570,FENWICK ST,5570 FENWICK ST, Sexton Campus,1,455.2305258
7231,102129,5576,FENWICK ST,5576 FENWICK ST, Sexton Campus,1,464.6340502
7232,102160,1078,QUEEN ST,1078 QUEEN ST, Sexton Campus,1,583.7101593
7233,102160,1086,QUEEN ST,1086 QUEEN ST, Sexton Campus,1,565.4572606
7234,102160,5481,VICTORIA RD,5481 VICTORIA RD, Sexton Campus,1,618.2210639
7235,102160,5483,VICTORIA RD,5483 VICTORIA RD, Sexton Campus,1,576.2271373
7236,102160,5485,VICTORIA RD,5485 VICTORIA RD, Sexton Campus,1,576.6688657
7237,102178,5493,VICTORIA RD,5493 VICTORIA RD, Sexton Campus,1,637.6621084
7238,102186,5497,VICTORIA RD,5497 VICTORIA RD, Sexton Campus,1,642.7115515
7239,102194,5515,VICTORIA RD,5515 VICTORIA RD, SMU Center,1,631.6905054
7240,102202,5535,VICTORIA RD,5535 VICTORIA RD, SMU Center,1,582.6761774
7241,102210,5539,VICTORIA RD,5539 VICTORIA RD, SMU Center,1,575.5313154
7242,102228,5543,VICTORIA RD,5543 VICTORIA RD, SMU Center,1,566.7690483
7243,102236,5547,VICTORIA RD,5547 VICTORIA RD, SMU Center,1,563.2722241
7244,102244,1095,LUCKNOW ST,1095 LUCKNOW ST, SMU Center,1,589.559509
7245,102251,1097,LUCKNOW ST,1097 LUCKNOW ST, SMU Center,1,605.05985
7246,102251,1099,LUCKNOW ST,1099 LUCKNOW ST, SMU Center,1,608.8646853
7247,102251,1101,LUCKNOW ST,1101 LUCKNOW ST, SMU Center,1,611.3889079
7248,102251,1103,LUCKNOW ST,1103 LUCKNOW ST, SMU Center,1,614.6629793
7249,102269,1107,LUCKNOW ST,1107 LUCKNOW ST, SMU Center,1,623.4784656
7250,102277,1111,LUCKNOW ST,1111 LUCKNOW ST, SMU Center,1,634.1063205
7251,102285,1115,LUCKNOW ST,1115 LUCKNOW ST, SMU Center,1,642.7590856
7252,102285,1117,LUCKNOW ST,1117 LUCKNOW ST, SMU Center,1,647.3099541
7253,102293,1067,BLAND ST,1067 BLAND ST, Sexton Campus,1,676.4579175
7254,102293,1069,BLAND ST,1069 BLAND ST, Sexton Campus,1,665.6289886
7255,102301,1065,BLAND ST,1065 BLAND ST, SMU Center,1,650.6603336
7256,102319,5466,VICTORIA RD,5466 VICTORIA RD, Sexton Campus,1,622.0831733
7257,102327,5460,VICTORIA RD,5460 VICTORIA RD, Sexton Campus,1,632.3057842
7258,102335,5456,VICTORIA RD,5456 VICTORIA RD, Sexton Campus,1,642.5277636
7259,102368,5438A,VICTORIA RD,5438A VICTORIA RD, Sexton Campus,1,683.4649478
7260,102368,5438B,VICTORIA RD,5438B VICTORIA RD, Sexton Campus,1,680.6896777
7261,102376,5434A,VICTORIA RD,5434A VICTORIA RD, Sexton Campus,1,690.5903479
7262,102376,5434B,VICTORIA RD,5434B VICTORIA RD, Sexton Campus,1,686.9840184
7263,102384,5422,VICTORIA RD,5422 VICTORIA RD, Sexton Campus,1,706.7789766
7264,102384,5424,VICTORIA RD,5424 VICTORIA RD, Sexton Campus,1,705.118704
7265,102384,5426,VICTORIA RD,5426 VICTORIA RD, Sexton Campus,1,703.784703
7266,102384,5428,VICTORIA RD,5428 VICTORIA RD, Sexton Campus,1,700.3984908
7267,102384,5430,VICTORIA RD,5430 VICTORIA RD, Sexton Campus,1,698.9218394
7268,102392,5429,INGLIS ST,5429 INGLIS ST, SMU Center,1,664.8251327
7269,102400,5391,INGLIS ST,5391 INGLIS ST, SMU Center,1,709.3185496
7270,102400,5397,INGLIS ST,5397 INGLIS ST, SMU Center,1,689.9021477
7271,102400,5399,INGLIS ST,5399 INGLIS ST, SMU Center,1,685.4085851
7272,102418,5449,INGLIS ST,5449 INGLIS ST, SMU Center,1,645.1366928
7273,102426,5451,INGLIS ST,5451 INGLIS ST, SMU Center,1,639.8164177
7274,102426,5453,INGLIS ST,5453 INGLIS ST, SMU Center,1,637.1720016
7275,102434,5455,INGLIS ST,5455 INGLIS ST, SMU Center,1,630.4532736
7276,102442,5461,INGLIS ST,5461 INGLIS ST, SMU Center,1,621.6313909
7277,102459,5465,INGLIS ST,5465 INGLIS ST, SMU Center,1,611.1305158
7278,102459,5467,INGLIS ST,5467 INGLIS ST, SMU Center,1,606.7830803
7279,102467,5475,INGLIS ST,5475 INGLIS ST, SMU Center,1,593.2303226
7280,102475,5483,INGLIS ST,5483 INGLIS ST, SMU Center,1,569.4135092
7281,102483,5485,INGLIS ST,5485 INGLIS ST, SMU Center,1,559.6912101
7282,102483,5487,INGLIS ST,5487 INGLIS ST, SMU Center,1,555.8397236
7283,102491,1013,BLAND ST,1013 BLAND ST, SMU Center,1,562.0257101
7284,102491,1013A,BLAND ST,1013A BLAND ST, SMU Center,1,557.8971868
7285,102491,5489,INGLIS ST,5489 INGLIS ST, SMU Center,1,550.1905192
7286,102491,5491,INGLIS ST,5491 INGLIS ST, SMU Center,1,551.1921782
7287,102509,1021,BLAND ST,1021 BLAND ST, SMU Center,1,579.5748226
7288,102517,1023,BLAND ST,1023 BLAND ST, SMU Center,1,587.6222956
7289,102525,1027,BLAND ST,1027 BLAND ST, SMU Center,1,595.2021345
7290,102533,1029,BLAND ST,1029 BLAND ST, SMU Center,1,602.4483165
7291,102541,1033,BLAND ST,1033 BLAND ST, SMU Center,1,610.4002808
7292,102558,1037,BLAND ST,1037 BLAND ST, SMU Center,1,624.4537195
7293,102566,1039,BLAND ST,1039 BLAND ST, SMU Center,1,629.9699048
7294,102574,1193,SOUTH PARK ST,1193 SOUTH PARK ST, Carlton Campus,1,559.227991
7295,102616,5650,SOUTH ST,5650 SOUTH ST, Sexton Campus,1,520.2862756
7296,102640,1186,QUEEN ST,1186 QUEEN ST, Sexton Campus,1,343.2753073
7297,102657,1178,QUEEN ST,1178 QUEEN ST, Sexton Campus,1,349.9783278
7298,102665,1172,QUEEN ST,1172 QUEEN ST, Sexton Campus,1,362.4356116
7299,102673,1166,QUEEN ST,1166 QUEEN ST, Sexton Campus,1,375.2197066
7300,102673,1168,QUEEN ST,1168 QUEEN ST, Sexton Campus,1,373.3674571
7301,102681,1164,QUEEN ST,1164 QUEEN ST, Sexton Campus,1,379.7918241
7302,102699,1162,QUEEN ST,1162 QUEEN ST, Sexton Campus,1,389.9936307
7303,102707,1158,QUEEN ST,1158 QUEEN ST, Sexton Campus,1,395.5349893
7304,102715,1154,QUEEN ST,1154 QUEEN ST, Sexton Campus,1,402.1903911
7305,102723,1152,QUEEN ST,1152 QUEEN ST, Sexton Campus,1,439.9805808
7306,102723,5565,FENWICK ST,5565 FENWICK ST, Sexton Campus,1,446.179534
7307,102731,5571,FENWICK ST,5571 FENWICK ST, Sexton Campus,1,461.0406413
7308,102749,5575,FENWICK ST,5575 FENWICK ST, Sexton Campus,1,472.0551898
7309,102756,5579,FENWICK ST,5579 FENWICK ST, Sexton Campus,1,483.6596618
7310,102764,5595,FENWICK ST,5595 FENWICK ST, Sexton Campus,1,520.6955769
7311,102780,5639,FENWICK ST,5639 FENWICK ST, Sexton Campus,1,614.6844164
7312,102798,5643,FENWICK ST,5643 FENWICK ST, Sexton Campus,1,625.1669174
7313,102806,5645,FENWICK ST,5645 FENWICK ST, Sexton Campus,1,634.9239624
7314,102806,5647,FENWICK ST,5647 FENWICK ST, Sexton Campus,1,637.4012968
7315,102806,5649,FENWICK ST,5649 FENWICK ST, Sexton Campus,1,639.250702
7316,102814,5651,FENWICK ST,5651 FENWICK ST, Sexton Campus,1,644.3976223
7317,102814,5653,FENWICK ST,5653 FENWICK ST, Sexton Campus,1,648.4075109
7318,102822,5655,FENWICK ST,5655 FENWICK ST, Sexton Campus,1,656.9107779
7319,102830,5657,FENWICK ST,5657 FENWICK ST, Sexton Campus,1,658.9631781
7320,102848,5668,SOUTH ST,5668 SOUTH ST, Sexton Campus,1,556.4555967
7321,102855,5667,FENWICK ST,5667 FENWICK ST, SMU Center,1,639.7563014
7322,102855,5669,FENWICK ST,5669 FENWICK ST, SMU Center,1,636.1691833
7323,102855,5671,FENWICK ST,5671 FENWICK ST, SMU Center,1,636.1172886
7324,102863,5675,FENWICK ST,5675 FENWICK ST, SMU Center,1,620.7811727
7325,102889,1161,SOUTH PARK ST,1161 SOUTH PARK ST, SMU Center,1,606.853364
7326,102897,1165,SOUTH PARK ST,1165 SOUTH PARK ST, SMU Center,1,614.5881984
7327,102905,1169,SOUTH PARK ST,1169 SOUTH PARK ST, Carlton Campus,1,613.0226369
7328,102913,1173,SOUTH PARK ST,1173 SOUTH PARK ST, Carlton Campus,1,600.1983802
7329,102921,1181,SOUTH PARK ST,1181 SOUTH PARK ST, Carlton Campus,1,587.2069293
7330,102939,1185,SOUTH PARK ST,1185 SOUTH PARK ST, Carlton Campus,1,579.1738441
7331,102939,1187,SOUTH PARK ST,1187 SOUTH PARK ST, Carlton Campus,1,575.4007583
7332,102954,5312,SOUTH ST,5312 SOUTH ST, Sexton Campus,1,263.8723162
7333,102962,5308,SOUTH ST,5308 SOUTH ST, Sexton Campus,1,247.5950415
7334,102970,5296,SOUTH ST,5296 SOUTH ST, Sexton Campus,1,228.9983614
7335,102970,5298,SOUTH ST,5298 SOUTH ST, Sexton Campus,1,236.4819127
7336,102988,5292,SOUTH ST,5292 SOUTH ST, Sexton Campus,1,219.4903587
7337,102996,5288,SOUTH ST,5288 SOUTH ST, Sexton Campus,1,226.3919407
7338,103002,5276,SOUTH ST,5276 SOUTH ST, Sexton Campus,1,251.9595496
7339,103002,5278,SOUTH ST,5278 SOUTH ST, Sexton Campus,1,248.6434993
7340,103010,5274,SOUTH ST,5274 SOUTH ST, Sexton Campus,1,260.2813995
7341,103028,5270,SOUTH ST,5270 SOUTH ST, Sexton Campus,1,269.4082259
7342,103036,5266,SOUTH ST,5266 SOUTH ST, Sexton Campus,1,277.1915313
7343,103044,5260,SOUTH ST,5260 SOUTH ST, Sexton Campus,1,289.0980696
7344,103051,5236,SOUTH ST,5236 SOUTH ST, Sexton Campus,1,300.0984388
7345,103069,5228,SOUTH ST,5228 SOUTH ST, Sexton Campus,1,312.2645915
7346,103069,5228A,SOUTH ST,5228A SOUTH ST, Sexton Campus,1,290.0619301
