ObjectID_1,PID,Civic.Number,Street,Full.Civ.Add,Closest.Uni,Dist.Uni,Destination,Dist.CBD
8414,116178,6522,BERLIN ST,6522 BERLIN ST,Studley Campus,1999.448984,City Hall,2853.049957
8415,116186,2756,CONNOLLY ST,2756 CONNOLLY ST,Studley Campus,1973.520033,City Hall,2827.121006
8416,116186,2758,CONNOLLY ST,2758 CONNOLLY ST,Studley Campus,1980.477159,City Hall,2834.078132
8417,116194,2752,CONNOLLY ST,2752 CONNOLLY ST,Studley Campus,1916.394546,City Hall,2769.995519
8418,116194,2754,CONNOLLY ST,2754 CONNOLLY ST,Studley Campus,1920.925579,City Hall,2774.526552
8419,116202,2744,CONNOLLY ST,2744 CONNOLLY ST,Studley Campus,1906.417825,City Hall,2760.018798
8420,116210,2740,CONNOLLY ST,2740 CONNOLLY ST,Studley Campus,1895.460022,City Hall,2749.060995
8421,116228,2736,CONNOLLY ST,2736 CONNOLLY ST,Studley Campus,1892.368381,City Hall,2745.969354
8422,116236,6521,VIENNA ST,6521 VIENNA ST,Studley Campus,1916.417689,City Hall,2770.018662
8423,116244,6527,VIENNA ST,6527 VIENNA ST,Studley Campus,1928.695988,City Hall,2782.296961
8424,116251,6531,VIENNA ST,6531 VIENNA ST,Studley Campus,1941.125323,City Hall,2794.726296
8425,116269,6537,VIENNA ST,6537 VIENNA ST,Studley Campus,1952.916763,City Hall,2806.517736
8426,116277,2677,CONNAUGHT AVE,2677 CONNAUGHT AVE,Studley Campus,1887.580604,City Hall,2783.767031
8427,116293,2687,CONNAUGHT AVE,2687 CONNAUGHT AVE,Studley Campus,1899.134388,City Hall,2795.320815
8428,116301,2695,CONNAUGHT AVE,2695 CONNAUGHT AVE,Studley Campus,1911.394242,City Hall,2807.580669
8429,116301,2697,CONNAUGHT AVE,2697 CONNAUGHT AVE,Studley Campus,1921.324273,City Hall,2817.5107
8430,116319,2705,CONNAUGHT AVE,2705 CONNAUGHT AVE,Studley Campus,1935.663318,City Hall,2831.849745
8431,116327,2711,CONNAUGHT AVE,2711 CONNAUGHT AVE,Studley Campus,1945.381098,City Hall,2841.567526
8432,116335,2719,CONNAUGHT AVE,2719 CONNAUGHT AVE,Studley Campus,1959.210246,City Hall,2855.396673
8433,116343,2729,CONNAUGHT AVE,2729 CONNAUGHT AVE,Studley Campus,1973.76713,City Hall,2869.953557
8434,116350,2735,CONNAUGHT AVE,2735 CONNAUGHT AVE,Studley Campus,1985.357665,City Hall,2881.544092
8435,116368,2739,CONNAUGHT AVE,2739 CONNAUGHT AVE,Studley Campus,1997.020761,City Hall,2893.207188
8436,116376,2745,CONNAUGHT AVE,2745 CONNAUGHT AVE,Studley Campus,2009.100943,City Hall,2905.28737
8437,116384,2751,CONNAUGHT AVE,2751 CONNAUGHT AVE,Studley Campus,2019.377471,City Hall,2915.563898
8438,116392,2756,SWAINE ST,2756 SWAINE ST,Studley Campus,2061.251147,City Hall,2914.85212
8439,116400,2750,SWAINE ST,2750 SWAINE ST,Studley Campus,2004.194405,City Hall,2857.795378
8440,116418,2746,SWAINE ST,2746 SWAINE ST,Studley Campus,1993.310023,City Hall,2846.910996
8441,116426,2740,SWAINE ST,2740 SWAINE ST,Studley Campus,1983.957005,City Hall,2837.557978
8442,116434,2734,SWAINE ST,2734 SWAINE ST,Studley Campus,1971.582579,City Hall,2825.183552
8443,116442,2728,SWAINE ST,2728 SWAINE ST,Studley Campus,1960.01303,City Hall,2813.614003
8444,116459,2718,SWAINE ST,2718 SWAINE ST,Studley Campus,1946.504451,City Hall,2800.105424
8445,116459,2720,SWAINE ST,2720 SWAINE ST,Studley Campus,1951.479659,City Hall,2805.080632
8446,116467,2710,SWAINE ST,2710 SWAINE ST,Studley Campus,1936.035109,City Hall,2789.636082
8447,116475,2704,SWAINE ST,2704 SWAINE ST,Studley Campus,1923.313783,City Hall,2776.914756
8448,116483,2694,SWAINE ST,2694 SWAINE ST,Studley Campus,1906.2611,City Hall,2759.862073
8449,116483,2696,SWAINE ST,2696 SWAINE ST,Studley Campus,1901.496557,City Hall,2755.09753
8450,116483,2698,SWAINE ST,2698 SWAINE ST,Studley Campus,1912.893822,City Hall,2766.494795
8451,116483,2700,SWAINE ST,2700 SWAINE ST,Studley Campus,1914.947898,City Hall,2768.548871
8452,116491,2686,SWAINE ST,2686 SWAINE ST,Studley Campus,1888.251143,City Hall,2741.852116
8453,116509,2674,SWAINE ST,2674 SWAINE ST,Studley Campus,1874.950341,City Hall,2728.551314
8454,116517,6573,CHEBUCTO RD,6573 CHEBUCTO RD,Studley Campus,1851.834108,City Hall,2705.435081
8455,116517,6575,CHEBUCTO RD,6575 CHEBUCTO RD,Studley Campus,1855.732042,City Hall,2709.333015
8456,116533,6575,BERLIN ST,6575 BERLIN ST,Studley Campus,2065.372279,City Hall,2918.973252
8457,116541,2771,CONNAUGHT AVE,2771 CONNAUGHT AVE,Studley Campus,2081.477987,City Hall,2935.07896
8458,116558,2777,CONNAUGHT AVE,2777 CONNAUGHT AVE,Studley Campus,2084.42306,City Hall,2980.609487
8459,116566,2781,CONNAUGHT AVE,2781 CONNAUGHT AVE,Studley Campus,2097.081712,City Hall,2993.268139
8460,116574,2787,CONNAUGHT AVE,2787 CONNAUGHT AVE,Studley Campus,2110.433862,City Hall,3006.620289
8461,116582,2793,CONNAUGHT AVE,2793 CONNAUGHT AVE,Studley Campus,2174.796524,City Hall,3067.732857
8462,116590,6572,ALMON ST,6572 ALMON ST,Studley Campus,2190.577392,City Hall,3051.95199
8463,116608,6566,ALMON ST,6566 ALMON ST,Studley Campus,2184.755146,City Hall,3038.356119
8464,116616,6560,ALMON ST,6560 ALMON ST,Studley Campus,2174.895119,City Hall,3028.496092
8465,116624,6556,ALMON ST,6556 ALMON ST,Studley Campus,2161.051976,City Hall,3014.652949
8466,116632,6550,ALMON ST,6550 ALMON ST,Studley Campus,2150.236186,City Hall,3003.837159
8467,116640,6546,ALMON ST,6546 ALMON ST,Studley Campus,2135.966878,City Hall,2989.567851
8468,116657,6540,ALMON ST,6540 ALMON ST,Studley Campus,2126.348898,City Hall,2979.949871
8469,116665,6534,ALMON ST,6534 ALMON ST,Studley Campus,2112.522368,City Hall,2966.123341
8470,116673,6528,ALMON ST,6528 ALMON ST,Studley Campus,2099.941975,City Hall,2953.542948
8471,116673,6530,ALMON ST,6530 ALMON ST,Studley Campus,2107.188913,City Hall,2960.789887
8472,116681,6524,ALMON ST,6524 ALMON ST,Studley Campus,2087.508573,City Hall,2941.109547
8473,116699,6518,ALMON ST,6518 ALMON ST,Studley Campus,2077.013843,City Hall,2930.614816
8474,116707,2794,CONNOLLY ST,2794 CONNOLLY ST,Studley Campus,2052.716483,City Hall,2906.317456
8475,116707,6512,ALMON ST,6512 ALMON ST,Studley Campus,2060.862936,City Hall,2914.463909
8476,116715,2788,CONNOLLY ST,2788 CONNOLLY ST,Studley Campus,1998.490895,City Hall,2852.091868
8477,116715,2790,CONNOLLY ST,2790 CONNOLLY ST,Studley Campus,2052.592735,City Hall,2906.193708
8478,116723,2784,CONNOLLY ST,2784 CONNOLLY ST,Studley Campus,1987.913514,City Hall,2841.514487
8479,116731,2778,CONNOLLY ST,2778 CONNOLLY ST,Studley Campus,1975.046937,City Hall,2828.64791
8480,116749,2774,CONNOLLY ST,2774 CONNOLLY ST,Studley Campus,1977.113203,City Hall,2830.714176
8481,116756,6521,BERLIN ST,6521 BERLIN ST,Studley Campus,1998.297222,City Hall,2851.898195
8482,116764,6527,BERLIN ST,6527 BERLIN ST,Studley Campus,2013.086525,City Hall,2866.687498
8483,116772,6531,BERLIN ST,6531 BERLIN ST,Studley Campus,2023.63153,City Hall,2877.232503
8484,116780,6537,BERLIN ST,6537 BERLIN ST,Studley Campus,2037.850748,City Hall,2891.451721
8485,116798,6543,BERLIN ST,6543 BERLIN ST,Studley Campus,2047.067801,City Hall,2900.668774
8486,116806,6549,BERLIN ST,6549 BERLIN ST,Studley Campus,2057.58363,City Hall,2911.184603
8487,116814,6553,BERLIN ST,6553 BERLIN ST,Studley Campus,2047.077756,City Hall,2900.678729
8488,116822,6559,BERLIN ST,6559 BERLIN ST,Studley Campus,2035.329119,City Hall,2888.930092
8489,116822,6561,BERLIN ST,6561 BERLIN ST,Studley Campus,2039.26262,City Hall,2892.863593
8490,116830,6563,BERLIN ST,6563 BERLIN ST,Studley Campus,2041.286482,City Hall,2894.887455
8491,116848,6569,BERLIN ST,6569 BERLIN ST,Studley Campus,2055.650931,City Hall,2909.251904
8492,116855,6475,BERLIN ST,6475 BERLIN ST,Studley Campus,1993.805827,City Hall,2847.4068
8493,116863,2773,CONNOLLY ST,2773 CONNOLLY ST,Studley Campus,1972.270791,City Hall,2825.871764
8494,116863,2775,CONNOLLY ST,2775 CONNOLLY ST,Studley Campus,1971.359234,City Hall,2824.960207
8495,116871,2777,CONNOLLY ST,2777 CONNOLLY ST,Studley Campus,1974.619401,City Hall,2828.220374
8496,116889,2783,CONNOLLY ST,2783 CONNOLLY ST,Studley Campus,1988.316259,City Hall,2841.917232
8497,116897,2787,CONNOLLY ST,2787 CONNOLLY ST,Studley Campus,1998.892641,City Hall,2852.493615
